date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2013-10-29,sz.399300,2369.216,2408.616,2327.904,2372.053,2365.954,10673783300,91741559592.0,3,0.005187,1,0.257777,,,,,0
2013-10-30,sz.399300,2371.853,2407.851,2365.506,2407.471,2372.053,9217812600,75735067216.0,3,0.004479,1,1.493136,,,,,0
2013-10-31,sz.399300,2398.395,2398.395,2370.226,2373.718,2407.471,8273696400,70393879838.0,3,0.00402,1,-1.402008,,,,,0
2013-11-01,sz.399300,2373.962,2395.005,2365.146,2384.96,2373.718,6305576200,57820026665.0,3,0.003064,1,0.473601,,,,,0
2013-11-04,sz.399300,2397.21,2404.896,2376.355,2380.454,2384.96,5179846100,48959462043.0,3,0.002517,1,-0.188928,,,,,0
2013-11-05,sz.399300,2366.884,2385.688,2343.801,2383.769,2380.454,6208448800,56935549943.0,3,0.003017,1,0.139257,,,,,0
2013-11-06,sz.399300,2371.324,2383.54,2352.787,2353.568,2383.769,6377666300,59536872794.0,3,0.003099,1,-1.26694,,,,,0
2013-11-07,sz.399300,2351.871,2356.672,2328.253,2340.552,2353.568,5482174700,50942569626.0,3,0.002663,1,-0.553037,,,,,0
2013-11-08,sz.399300,2329.084,2342.672,2306.041,2307.945,2340.552,5378850800,48564999878.0,3,0.002612,1,-1.39313,,,,,0
2013-11-11,sz.399300,2305.94,2325.228,2295.003,2315.889,2307.945,4573945700,42566548184.0,3,0.002221,1,0.344196,,,,,0
2013-11-12,sz.399300,2319.362,2342.529,2316.603,2340.0,2315.889,5268754500,49854763423.0,3,0.002558,1,1.041116,,,,,0
2013-11-13,sz.399300,2325.36,2325.563,2287.547,2288.116,2340.0,5984883100,53183050105.0,3,0.002905,1,-2.217266,,,,,0
2013-11-14,sz.399300,2291.269,2305.696,2279.006,2304.501,2288.116,5731035600,51945077793.0,3,0.002782,1,0.716092,,,,,0
2013-11-15,sz.399300,2306.549,2377.211,2306.549,2350.734,2304.501,8639177100,83147858433.0,3,0.004192,1,2.006201,,,,,0
2013-11-18,sz.399300,2367.883,2429.566,2361.038,2428.903,2350.734,11003463300,108549512988.0,3,0.005339,1,3.32531,,,,,0
2013-11-19,sz.399300,2427.928,2427.928,2405.076,2412.163,2428.903,7864829600,79884936328.0,3,0.003816,1,-0.6892,,,,,0
2013-11-20,sz.399300,2428.767,2435.427,2406.417,2424.85,2412.163,7229180100,67741428196.0,3,0.003508,1,0.52596,,,,,0
2013-11-21,sz.399300,2412.451,2415.383,2382.878,2409.989,2424.85,8770667700,82220527035.0,3,0.004256,1,-0.612866,,,,,0
2013-11-22,sz.399300,2415.29,2418.999,2393.581,2397.962,2409.989,7500067500,70052206585.0,3,0.00364,1,-0.499052,,,,,0
2013-11-25,sz.399300,2385.784,2418.853,2380.689,2388.629,2397.962,6614473400,63811265014.0,3,0.003209,1,-0.389206,,,,,0
2013-11-26,sz.399300,2387.826,2399.022,2380.412,2387.416,2388.629,5918586400,53334204356.0,3,0.002872,1,-0.050778,,,,,0
2013-11-27,sz.399300,2386.362,2422.806,2383.78,2414.481,2387.416,7529408800,70744775407.0,3,0.003653,1,1.13365,,,,,0
2013-11-28,sz.399300,2419.15,2460.556,2417.235,2439.53,2414.481,9066040600,86852445384.0,3,0.004399,1,1.037452,,,,,0
2013-11-29,sz.399300,2442.676,2446.395,2432.387,2438.944,2439.53,6180374600,61907374173.0,3,0.002999,1,-0.024018,,,,,0
2013-12-02,sz.399300,2423.969,2464.863,2397.007,2418.788,2438.944,11965512300,112921841120.0,3,0.005805,1,-0.826423,,,,,0
2013-12-03,sz.399300,2410.693,2448.333,2406.663,2442.784,2418.788,7445575200,72045234174.0,3,0.003612,1,0.992061,,,,,0
2013-12-04,sz.399300,2439.824,2486.64,2434.694,2475.135,2442.784,10265023500,94783931336.0,3,0.004979,1,1.324353,,,,,0
2013-12-05,sz.399300,2476.453,2481.747,2460.576,2468.197,2475.135,7770893200,72999931131.0,3,0.00377,1,-0.280307,,,,,0
2013-12-06,sz.399300,2463.043,2470.813,2445.623,2452.287,2468.197,6611408900,64843207895.0,3,0.003207,1,-0.644597,,,,,0
2013-12-09,sz.399300,2460.028,2468.948,2445.94,2450.872,2452.287,5716488400,57634539131.0,3,0.002773,1,-0.057703,,,,,0
2013-12-10,sz.399300,2456.23,2466.66,2444.526,2453.322,2450.872,6694142400,61236728790.0,3,0.003247,1,0.099962,,,,,0
2013-12-11,sz.399300,2440.503,2440.503,2400.742,2412.763,2453.322,6807514400,62808851026.0,3,0.003302,1,-1.653231,,,,,0
2013-12-12,sz.399300,2406.766,2423.309,2402.769,2410.015,2412.763,5014771900,47481447335.0,3,0.002433,1,-0.113896,,,,,0
2013-12-13,sz.399300,2388.659,2416.26,2386.246,2406.639,2410.015,5150119600,47583527668.0,3,0.002498,1,-0.140081,,,,,0
2013-12-16,sz.399300,2408.678,2412.734,2367.43,2367.923,2406.639,6458167400,62107893611.0,3,0.00313,1,-1.608709,,,,,0
2013-12-17,sz.399300,2369.255,2373.286,2351.183,2356.376,2367.923,4848389100,46306075570.0,3,0.00235,1,-0.487648,,,,,0
2013-12-18,sz.399300,2356.703,2368.583,2350.451,2357.226,2356.376,4001520700,39675269794.0,3,0.001938,1,0.036076,,,,,0
2013-12-19,sz.399300,2366.205,2370.991,2331.194,2332.41,2357.226,4809568000,45148866928.0,3,0.00233,1,-1.05277,,,,,0
2013-12-20,sz.399300,2335.052,2338.875,2278.096,2278.136,2332.41,6520420700,60862129503.0,3,0.003159,1,-2.326946,,,,,0
2013-12-23,sz.399300,2283.8,2295.765,2259.575,2284.602,2278.136,4558028500,44415342954.0,3,0.002208,1,0.283831,,,,,0
2013-12-24,sz.399300,2291.125,2312.832,2270.245,2288.248,2284.602,4559916800,45173191422.0,3,0.002208,1,0.15959,,,,,0
2013-12-25,sz.399300,2291.748,2305.609,2281.6,2305.11,2288.248,4400532600,41202984186.0,3,0.002131,1,0.736898,,,,,0
2013-12-26,sz.399300,2299.972,2301.493,2263.922,2265.334,2305.11,5149756300,48603013700.0,3,0.002494,1,-1.725563,,,,,0
2013-12-27,sz.399300,2268.535,2315.182,2264.386,2303.478,2265.334,5338915700,51197946376.0,3,0.002585,1,1.683815,,,,,0
2013-12-30,sz.399300,2313.38,2316.621,2295.641,2299.458,2303.478,4841430800,46156442661.0,3,0.002344,1,-0.17452,,,,,0
2013-12-31,sz.399300,2289.01,2333.074,2287.117,2330.026,2299.458,5663107000,57026486218.0,3,0.00274,1,1.329351,,,,,0
2014-01-02,sz.399300,2323.433,2325.991,2310.653,2321.978,2330.026,4519429100,49012211124.0,3,0.002185,1,-0.345398,,,,,0
2014-01-03,sz.399300,2311.968,2314.836,2280.887,2290.779,2321.978,5978264500,57739709924.0,3,0.00289,1,-1.343638,,,,,0
2014-01-06,sz.399300,2286.371,2286.371,2229.334,2238.637,2290.779,6630040300,59979360128.0,3,0.003206,1,-2.276173,,,,,0
2014-01-07,sz.399300,2222.306,2246.791,2218.647,2238.001,2238.637,4375310300,42565648108.0,3,0.002112,1,-0.02841,,,,,0
2014-01-08,sz.399300,2240.635,2262.584,2228.418,2241.911,2238.001,5134885400,50691488898.0,3,0.002479,1,0.174706,,,,,0
2014-01-09,sz.399300,2236.967,2258.894,2220.802,2222.221,2241.911,5598704100,54399491333.0,3,0.002704,1,-0.878266,,,,,0
